math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
subtract(),5.5E-5,3.1E-5,3.0E-5,4.8E-5,4.6E-5,3.4E-5,5.8E-5,3.1E-5,4.6E-5
multiply(),5.1000000000000006E-5,1.9E-5,4.5E-5,4.3E-5,9.400000000000001E-5,3.6E-5,2.22E-4,0.005483,0.013769000000000002
power(5),1.0200000000000001E-4,4.5E-5,8.300000000000001E-5,1.5700000000000002E-4,9.65E-4,1.73E-4,0.001306,5.35E-4,0.004006
power(10),8.800000000000001E-5,1.09E-4,2.03E-4,3.62E-4,0.003183,4.8600000000000005E-4,0.00542,0.003275,0.019025
power(20),2.52E-4,3.8E-4,5.72E-4,0.004315,0.012177,0.0016920000000000001,0.031195,0.030233000000000003,0.079006
Time Elapsed ,0.40453
math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.010053000000000001,0.0035150000000000003,1.2200000000000001E-4,1.2800000000000002E-4,2.4900000000000004E-4,1.64E-4,3.8300000000000004E-4,4.0300000000000004E-4,0.00118
Traversal,1.92E-4,5.4000000000000005E-5,8.5E-5,8.0E-5,2.0700000000000002E-4,1.1800000000000001E-4,0.00106,0.001127,8.950000000000001E-4
output(),1.6600000000000002E-4,5.9000000000000004E-5,6.7E-5,1.35E-4,3.8100000000000005E-4,9.400000000000001E-5,0.001093,3.0000000000000003E-4,7.32E-4
getSign(),7.000000000000001E-5,4.4000000000000006E-5,3.0E-5,4.4000000000000006E-5,4.7000000000000004E-5,3.9E-5,2.2600000000000002E-4,3.9E-5,4.0E-5
digitCount(),0.00136,5.8E-5,4.7000000000000004E-5,1.16E-4,6.2E-5,6.0E-5,7.400000000000001E-5,3.28E-4,7.7E-5
equalTo(),1.0400000000000001E-4,4.2000000000000004E-5,1.7E-4,3.8E-5,4.8E-5,6.900000000000001E-5,4.0E-5,5.8E-5,1.32E-4
lessThan(),6.400000000000001E-5,4.4000000000000006E-5,4.6E-5,4.0E-5,7.400000000000001E-5,4.0E-5,3.9E-5,7.6E-5,1.43E-4
greaterThan(),6.1000000000000005E-5,4.7000000000000004E-5,4.8E-5,4.7000000000000004E-5,7.400000000000001E-5,4.5E-5,5.9000000000000004E-5,8.1E-5,1.3800000000000002E-4
add(),5.0E-5,1.0E-5,1.1000000000000001E-5,1.3000000000000001E-5,1.2E-5,1.0E-5,1.5E-5,1.7E-5,4.8E-5
subtract(),5.8E-5,4.2000000000000004E-5,3.2000000000000005E-5,4.8E-5,4.5E-5,3.0E-5,5.5E-5,2.5E-5,7.3E-5
multiply(),6.0E-5,2.0E-5,2.9E-4,4.6E-5,9.1E-5,3.6E-5,2.3600000000000002E-4,0.0017690000000000002,0.0012150000000000002
